news_id,category,subcategory,i,p
N100043,news,newspolitics,9671,poli
N100069,news,newspolitics,1930,poli
N10013,news,newspolitics,5831,poli
N100217,news,newspolitics,7832,poli
N100234,news,newspolitics,8840,poli
N100395,news,newspolitics,3826,poli
N100408,news,elections-2020-us,939,poli
N100478,news,newspolitics,25892,poli
N100624,news,elections-2020-us,27829,poli
N100649,news,newspolitics,27712,poli
N100653,news,newspolitics,23421,poli
N100716,news,newspolitics,731,poli
N100804,news,newspolitics,618,poli
N100867,news,newspolitics,1506,poli
N101078,news,newspolitics,9860,poli
N101100,news,newspolitics,4247,poli
N101194,news,elections-2020-us,22431,poli
N10127,news,newspolitics,1642,poli
N101417,news,newspolitics,29141,poli
N101418,news,newspolitics,19398,poli
N101620,news,newspolitics,4210,poli
N101834,news,newspolitics,3661,poli
N101953,news,newspolitics,5484,poli
N101981,news,newspolitics,2580,poli
N102013,news,newspolitics,11490,poli
N102033,news,newspolitics,19655,poli
N102132,news,newspolitics,26537,poli
N102134,news,newspolitics,13815,poli
N102158,news,newspolitics,10366,poli
N102283,news,newsfactcheck,9781,poli
N102527,news,newspolitics,27798,poli
N102534,news,newspolitics,27711,poli
N102584,news,newspolitics,29242,poli
N102664,news,newspolitics,28834,poli
N102736,news,newspolitics,27691,poli
N102794,news,newspolitics,15163,poli
N102896,news,newspolitics,20997,poli
N102904,news,newspolitics,29074,poli
N102926,news,newspolitics,1997,poli
N103007,news,newspolitics,21868,poli
N103158,news,elections-2020-us,673,poli
N103185,news,newspolitics,28532,poli
N103238,news,newspolitics,15173,poli
N103256,news,newspolitics,15535,poli
N103397,news,newspolitics,637,poli
N103440,news,newspolitics,22912,poli
N103513,news,newspolitics,20864,poli
N103633,news,newspolitics,19901,poli
N10364,news,newspolitics,14477,poli
N103745,news,factcheck,6701,poli
N103769,news,newspolitics,3997,poli
N103852,news,newspolitics,48,poli
N103960,news,newspolitics,26848,poli
N103994,news,newspolitics,25020,poli
N104064,news,elections-2020-us,3306,poli
N104180,news,newspolitics,3954,poli
N1042,news,newspolitics,18221,poli
N104288,news,newspolitics,19927,poli
N104305,news,newspolitics,21317,poli
N104339,news,newspolitics,28982,poli
N104412,news,newspolitics,5761,poli
N104644,news,newspolitics,6020,poli
