news_id,source,click,i,poli2,poli5,manual
N107589,12 News,52,5377,-0.25,99.0,0.0
N89475,12 News,0,28807,-0.25,99.0,99.0
N54239,24/7 Wall St,2152,99,-4.35,99.0,-0.138888889
N73962,ABC News,28,1320,-4.41,-1.0,-0.392857143
N3349,ABC News,257,1390,-4.41,-1.0,-0.125
N40643,ABC News,30,1446,-4.41,-1.0,-0.073529412
N98922,ABC News,37,1804,-4.41,-1.0,-0.288461538
N85606,ABC News,99,2027,-4.41,-1.0,-0.236842105
N92438,ABC News,1276,2046,-4.41,-1.0,-0.25
N82029,ABC News,104,2291,-4.41,-1.0,-0.116666667
N60407,ABC News,615,2854,-4.41,-1.0,-0.25
N57319,ABC News,175,2949,-4.41,-1.0,-0.426470588
N77457,ABC News,19,3012,-4.41,-1.0,0.1
N645,ABC News,203,3276,-4.41,-1.0,-0.166666667
N19374,ABC News,3,3284,-4.41,-1.0,0.022727273
N32423,ABC News,16,3407,-4.41,-1.0,-0.15
N54687,ABC News,70,3600,-4.41,-1.0,-0.28125
N101100,ABC News,45,4247,-4.41,-1.0,0.166666667
N36896,ABC News,9,4778,-4.41,-1.0,0.071428571
N119461,ABC News,11,4987,-4.41,-1.0,-0.022727273
N28873,ABC News,722,5096,-4.41,-1.0,-0.071428571
N36057,ABC News,0,5215,-4.41,-1.0,-0.357142857
N123139,ABC News,3,5743,-4.41,-1.0,0.125
N53065,ABC News,62,5841,-4.41,-1.0,-0.045454545
N121052,ABC News,7,5926,-4.41,-1.0,-0.078125
N104644,ABC News,1289,6020,-4.41,-1.0,0.175
N97476,ABC News,2,6044,-4.41,-1.0,0.192307692
N37436,ABC News,10,6340,-4.41,-1.0,-0.194444444
N33112,ABC News,5,6419,-4.41,-1.0,-0.275
N118445,ABC News,22,6535,-4.41,-1.0,-0.1
N34039,ABC News,1,6945,-4.41,-1.0,-0.230769231
N30482,ABC News,1,7094,-4.41,-1.0,0.089285714
N30504,ABC News,25,7181,-4.41,-1.0,-0.305555556
N107142,ABC News,2,8028,-4.41,-1.0,-0.071428571
N17771,ABC News,12,11543,-4.41,-1.0,-0.083333333
N70349,ABC News,2,13691,-4.41,-1.0,-0.019230769
N102134,ABC News,8,13815,-4.41,-1.0,-0.019230769
N59660,ABC News,0,15320,-4.41,-1.0,-0.25
N20446,ABC News,2,15962,-4.41,-1.0,0.0
N118008,ABC News,3,16705,-4.41,-1.0,0.022727273
N73848,ABC News,2,17092,-4.41,-1.0,0.083333333
N51152,ABC News,40,17601,-4.41,-1.0,-0.340909091
N86509,ABC News,248,19209,-4.41,-1.0,-0.386363636
N8191,ABC News,0,21039,-4.41,-1.0,-0.125
N57248,ABC News,7,23757,-4.41,-1.0,0.090909091
N66895,ABC News,2,27429,-4.41,-1.0,-0.428571429
N68561,ABC News,2,27541,-4.41,-1.0,-0.316666667
N100649,ABC News,3,27712,-4.41,-1.0,-0.134615385
N107167,ABC News,17,27804,-4.41,-1.0,-0.590909091
N96724,ABC News,8,27963,-4.41,-1.0,0.15
N107103,ABC News,5,28049,-4.41,-1.0,0.171875
N89967,ABC News,4,3722,-4.41,-1.0,99.0
N72883,ABC News,24,3996,-4.41,-1.0,99.0
N49127,ABC News,0,10370,-4.41,-1.0,99.0
N34705,ABC News,4,11956,-4.41,-1.0,99.0
N103238,ABC News,1,15173,-4.41,-1.0,99.0
N63889,ABC News,0,16911,-4.41,-1.0,99.0
N87552,ABC News,3,17227,-4.41,-1.0,99.0
N26660,ABC News,0,17277,-4.41,-1.0,99.0
N48209,ABC News,1,19455,-4.41,-1.0,99.0
N121583,ABC News,0,19840,-4.41,-1.0,99.0
N34345,ABC News,0,20157,-4.41,-1.0,99.0
N78857,ABC News,0,20991,-4.41,-1.0,99.0
N7279,ABC News,0,21038,-4.41,-1.0,99.0
N41787,ABC News,0,21048,-4.41,-1.0,99.0
N116513,ABC News,0,22702,-4.41,-1.0,99.0
N17185,ABC News,1,22843,-4.41,-1.0,99.0
N69232,ABC News,0,23700,-4.41,-1.0,99.0
N84360,ABC News,0,24327,-4.41,-1.0,99.0
N69074,ABC News,0,24665,-4.41,-1.0,99.0
N63164,ABC News,0,24669,-4.41,-1.0,99.0
N75640,ABC News,1,24690,-4.41,-1.0,99.0
N92396,ABC News,0,25959,-4.41,-1.0,99.0
N114703,ABC News,0,27796,-4.41,-1.0,99.0
N39131,ABC News,7,28438,-4.41,-1.0,99.0
N97782,ABC News,0,28722,-4.41,-1.0,99.0
N56874,ABC News,0,29028,-4.41,-1.0,99.0
N24308,ABC News,1,29173,-4.41,-1.0,99.0
N102584,ABC News,0,29242,-4.41,-1.0,99.0
N16764,ABC News,0,29268,-4.41,-1.0,99.0
N73338,ABC News,203,2714,-4.41,-1.0,-0.1875
N191,ABC News,7,22127,-4.41,-1.0,-0.25
N78183,ABC News,2,27680,-4.41,-1.0,-0.125
N87612,ABC News,8,9652,-4.41,-1.0,-0.045454545
N10013,ABC News,7,5831,-4.41,-1.0,0.25
N115756,ABC News,26,27240,-4.41,-1.0,-0.25
N91004,ABC News,4,4937,-4.41,-1.0,-0.433333333
N72443,ABC News,1,8481,-4.41,-1.0,-0.03125
N502,ABC News,1,10559,-4.41,-1.0,-0.3125
N93227,ABC News,3,11240,-4.41,-1.0,0.057692308
N122052,ABC News,3,18802,-4.41,-1.0,-0.117647059
N3546,ABC News,1,27524,-4.41,-1.0,-0.21875
N40178,Action news 5,4,13908,99.0,99.0,99.0
N74227,Action news 5,1,14751,99.0,99.0,99.0
N51617,Action news 5,0,18691,99.0,99.0,99.0
N60694,Action news 5,3,19581,99.0,99.0,99.0
N44383,Action news 5,5,24668,99.0,99.0,99.0
N42419,actionnewsjax,0,21430,99.0,99.0,99.0
N9438,amestrib,0,11106,99.0,99.0,99.0
N76434,AP,194,53,-1.96,-1.0,0.083333333
N99507,AP,121,258,-1.96,-1.0,-0.46875
N31967,AP,56,534,-1.96,-1.0,-0.2
N11713,AP,77,807,-1.96,-1.0,-0.3
N23067,AP,64,918,-1.96,-1.0,-0.25
N100408,AP,100,939,-1.96,-1.0,-0.428571429
N114429,AP,209,1130,-1.96,-1.0,-0.142857143
N59272,AP,81,1261,-1.96,-1.0,-0.225
N55647,AP,137,1315,-1.96,-1.0,0.083333333
N93337,AP,55,1655,-1.96,-1.0,-0.1
N49939,AP,183,1813,-1.96,-1.0,-0.1875
N67128,AP,663,1858,-1.96,-1.0,0.05
N67459,AP,445,1895,-1.96,-1.0,-0.15
N57630,AP,482,1900,-1.96,-1.0,-0.386363636
N44092,AP,48,1929,-1.96,-1.0,0.125
N21902,AP,67,1951,-1.96,-1.0,-0.045454545
N38883,AP,411,2282,-1.96,-1.0,-0.25
N88928,AP,87,2398,-1.96,-1.0,-0.038461538
N19252,AP,24,2993,-1.96,-1.0,-0.305555556
N12899,AP,216,3532,-1.96,-1.0,-0.196428571
N79889,AP,203,4779,-1.96,-1.0,-0.28125
N68048,AP,285,4926,-1.96,-1.0,-0.333333333
N58655,AP,2,5356,-1.96,-1.0,0.041666667
N97545,AP,5,9953,-1.96,-1.0,-0.269230769
N69619,AP,0,10096,-1.96,-1.0,-0.325
N26720,AP,2,10455,-1.96,-1.0,-0.027777778
N50932,AP,2,11177,-1.96,-1.0,0.083333333
N26501,AP,3,11580,-1.96,-1.0,-0.192307692
N67764,AP,3,12491,-1.96,-1.0,-0.375
N56096,AP,8,14122,-1.96,-1.0,-0.166666667
N50784,AP,1,14923,-1.96,-1.0,-0.375
N36092,AP,4,15067,-1.96,-1.0,-0.125
N81354,AP,5,15378,-1.96,-1.0,-0.178571429
N35533,AP,0,17205,-1.96,-1.0,99.0
N101418,AP,3,19398,-1.96,-1.0,0.107142857
N1316,AP,1,19399,-1.96,-1.0,-0.216666667
N58135,AP,22,25487,-1.96,-1.0,-0.171875
N99142,AP,5,26441,-1.96,-1.0,0.035714286
N52339,AP,39,27260,-1.96,-1.0,-0.25
N52855,AP,0,27549,-1.96,-1.0,-0.166666667
N16203,AP,0,27826,-1.96,-1.0,-0.277777778
N100624,AP,0,27829,-1.96,-1.0,99.0
N31754,AP,41,1638,-1.96,-1.0,99.0
N14355,AP,4,3682,-1.96,-1.0,99.0
N59802,AP,0,5480,-1.96,-1.0,99.0
N73286,AP,0,5803,-1.96,-1.0,99.0
N34753,AP,0,7909,-1.96,-1.0,99.0
N52025,AP,2,8154,-1.96,-1.0,99.0
N40414,AP,1,8472,-1.96,-1.0,99.0
N62900,AP,1,8833,-1.96,-1.0,99.0
N58679,AP,3,8856,-1.96,-1.0,99.0
N108587,AP,0,9669,-1.96,-1.0,99.0
N2314,AP,6,9780,-1.96,-1.0,99.0
N102283,AP,2,9781,-1.96,-1.0,99.0
N76890,AP,4,10598,-1.96,-1.0,99.0
N35620,AP,0,10961,-1.96,-1.0,99.0
N116748,AP,1,12117,-1.96,-1.0,99.0
N11976,AP,9,13329,-1.96,-1.0,99.0
N123304,AP,1,13330,-1.96,-1.0,99.0
N50785,AP,0,13942,-1.96,-1.0,99.0
N122931,AP,1,14325,-1.96,-1.0,99.0
N102794,AP,4,15163,-1.96,-1.0,99.0
N103256,AP,1,15535,-1.96,-1.0,99.0
N3919,AP,0,16582,-1.96,-1.0,99.0
N24590,AP,0,17058,-1.96,-1.0,99.0
N77885,AP,0,17523,-1.96,-1.0,99.0
N1235,AP,0,17835,-1.96,-1.0,99.0
N108426,AP,0,17894,-1.96,-1.0,99.0
N26222,AP,0,17969,-1.96,-1.0,99.0
N113143,AP,1,18640,-1.96,-1.0,99.0
N54704,AP,0,19119,-1.96,-1.0,99.0
N20118,AP,0,19736,-1.96,-1.0,99.0
N80736,AP,0,19995,-1.96,-1.0,99.0
N39210,AP,1,20153,-1.96,-1.0,99.0
N2174,AP,1,20770,-1.96,-1.0,99.0
N96455,AP,0,20824,-1.96,-1.0,99.0
N115031,AP,1,21082,-1.96,-1.0,99.0
N59253,AP,0,21539,-1.96,-1.0,99.0
N75671,AP,0,21847,-1.96,-1.0,99.0
N27952,AP,0,22201,-1.96,-1.0,99.0
N6196,AP,0,22275,-1.96,-1.0,99.0
N82345,AP,2,22449,-1.96,-1.0,99.0
N117312,AP,0,22493,-1.96,-1.0,99.0
N103440,AP,3,22912,-1.96,-1.0,99.0
N6765,AP,2,22949,-1.96,-1.0,99.0
N72316,AP,1,22953,-1.96,-1.0,99.0
N122885,AP,0,23444,-1.96,-1.0,99.0
N22457,AP,0,23716,-1.96,-1.0,99.0
N47220,AP,0,24365,-1.96,-1.0,99.0
N109306,AP,0,25024,-1.96,-1.0,99.0
N91616,AP,0,25332,-1.96,-1.0,99.0
N65835,AP,1,25601,-1.96,-1.0,99.0
N52649,AP,0,25649,-1.96,-1.0,99.0
N66140,AP,0,26130,-1.96,-1.0,99.0
N91683,AP,0,26408,-1.96,-1.0,99.0
N130312,AP,0,26712,-1.96,-1.0,99.0
N85353,AP,0,28240,-1.96,-1.0,99.0
N127245,AP,0,28251,-1.96,-1.0,99.0
N91284,AP,0,28946,-1.96,-1.0,99.0
N108975,AP,0,28993,-1.96,-1.0,99.0
N109798,AP,0,29017,-1.96,-1.0,99.0
N102904,AP,0,29074,-1.96,-1.0,99.0
N118265,AP,0,29134,-1.96,-1.0,99.0
N77690,AP,0,29182,-1.96,-1.0,99.0
N82024,AP,1,29291,-1.96,-1.0,99.0
N62577,AP,204,4046,-1.96,-1.0,-0.208333333
N11240,AP,4,27520,-1.96,-1.0,-0.3125
N32244,AP,21,10066,-1.96,-1.0,0.1
N15438,AP,1655,319,-1.96,-1.0,-0.045454545
N26387,AP,11,3969,-1.96,-1.0,-0.270833333
N111662,AP,6,4563,-1.96,-1.0,-0.2
N43490,AP,291,1565,-1.96,-1.0,-0.388888889
N21400,audacy,1,9206,-4.6,99.0,0.145833333
N112528,audacy,0,27946,-4.6,99.0,99.0
N53131,Austin American-Statesman,41,1438,-4.23,-1.0,-0.339285714
N116109,Austin American-Statesman,3,8806,-4.23,-1.0,-0.333333333
N119973,Austin American-Statesman,5,9187,-4.23,-1.0,-0.2
N74992,Austin American-Statesman,4,13016,-4.23,-1.0,-0.318181818
N74614,Austin American-Statesman,5,13251,-4.23,-1.0,-0.027777778
N58910,Austin American-Statesman,1,19059,-4.23,-1.0,99.0
N94770,Austin American-Statesman,1,21675,-4.23,-1.0,99.0
N72232,avemariaradio,0,21992,99.0,99.0,99.0
N123836,azcentral,48,7307,-7.43,0.0,0.055555556
N42526,azcentral,5,7880,-7.43,0.0,0.0
N82912,azcentral,0,8181,-7.43,0.0,-0.208333333
N38850,azcentral,3,8500,-7.43,0.0,-0.5
N47125,azcentral,3,12727,-7.43,0.0,-0.361111111
N55741,azcentral,10,12867,-7.43,0.0,-0.125
N112822,azcentral,20,15396,-7.43,0.0,-0.071428571
N76244,azcentral,14,28003,-7.43,0.0,0.055555556
N43794,azcentral,0,12630,-7.43,0.0,99.0
N84740,azcentral,0,19523,-7.43,0.0,99.0
N24133,azcentral,9,12535,-7.43,0.0,-0.431818182
N126789,Baltimore Sun,1,2231,-4.84,0.0,-0.222222222
N112819,Baltimore Sun,341,502,-4.84,0.0,-0.15625
N21295,Baltimore Sun,7,9711,-4.84,0.0,0.055555556
N22740,Baltimore Sun,3,13479,-4.84,0.0,-0.1875
N1047,Baltimore Sun,2,15014,-4.84,0.0,-0.183333333
N72978,Baltimore Sun,2,15322,-4.84,0.0,0.019230769
N124751,Baltimore Sun,1,14523,-4.84,0.0,99.0
N120198,Baltimore Sun,1,15372,-4.84,0.0,99.0
N35512,Baltimore Sun,1,19000,-4.84,0.0,99.0
N55338,Baltimore Sun,1,20595,-4.84,0.0,99.0
N83383,Baltimore Sun,1,20706,-4.84,0.0,99.0
N127365,Baltimore Sun,2,22231,-4.84,0.0,99.0
N45379,Baltimore Sun,0,22322,-4.84,0.0,99.0
N46407,Baltimore Sun,0,26517,-4.84,0.0,99.0
N86059,Bloomberg News,241,749,-3.21,-1.0,-0.071428571
N60988,Bloomberg News,930,1345,-3.21,-1.0,-0.3125
N100069,Bloomberg News,205,1930,-3.21,-1.0,-0.194444444
